siret_txt,siret,société,nom_historique,naf732,secteur,activité_naf_détaillée_(insee),enseigne,année_de_création_de_létablissement,commune,code_commune_insee,epci,effectifs_2024,date_de_mise_à_jour_des_effectifs,segmentation,sport-montagne,sportdomaine,cleantech,sante,santedomaine,energie,energiedomaine,numerique,num_domaine,chimie,chimiedomaine
32280414700039,32280414-00039,FROMAGERIES DE L'ETOILE,FROMAGERS PLUS,1051C,Industrie,Industries agroalimentaires,,2005,SAINT JUST DE CLAIX,38409.0,CC Saint-Marcellin Vercors Isère Communauté,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
52496346900027,52496346-00027,G38,,4649Z,Services aux entreprises,Commerce de gros,GRANICO,,CROLLES,38140.0,CC Le Grésivaudan,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
43772384402486,43772384-02486,GENERALE DE TELEPHONE,GENERALE DE TELEPHONE,7420Z,Services aux entreprises,Autres services aux entreprises,PHOTO SERVICE,2008,SAINT EGREVE,38382.0,Grenoble-Alpes-Métropole,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
49103885700018,49103885-00018,GIGNOUX,,3230Z,Industrie,"Industries diverses (électroménager, articles de sport, meubles, bijoux, etc.)",,,SAINT MARTIN D'URIAGE,38422.0,CC Le Grésivaudan,11.0,2024-01-01 00:00:00,99.0,1.0,Sport,0.0,0.0,,0.0,,0.0,,0.0,
39384551600052,39384551-00052,GRENOBLE LOGISTIQUE DISTRIBUTION - G.L.D.,GRENOBLE LOGISTIQUE DISTRIBUTION GLD ex 053372S,5210B,Services aux entreprises,"Entreposage, manutention, conditionnement",,1990,FROGES,38175.0,CC Le Grésivaudan,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
78968048500016,78968048-00016,GROUPE TERA,,6420Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",GROUPE TERA,,CROLLES,38140.0,CC Le Grésivaudan,11.0,2020-06-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
38518185400048,38518185-00048,GT ROBOTIQUE,GT ROBOTIQUE,4669B,Services aux entreprises,Commerce de gros,,2007,CROLLES,38140.0,CC Le Grésivaudan,11.0,2022-05-20 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Electronique,0.0,
53909592700031,53909592-00031,IDEO INDUSTRIES,,2420Z,Industrie,"Métallurgie, travail des métaux, usinage",,,PONTCHARRA,38314.0,CC Le Grésivaudan,11.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
35075312500565,35075312-00565,JDC,,4666Z,Services aux entreprises,Commerce de gros,,,MONTBONNOT SAINT MARTIN,38249.0,CC Le Grésivaudan,11.0,2024-01-01 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
97350496200042,97350496-00042,JEAN DUPUIS,DUPUIS Jean CEP,2222Z,Industrie,Produits en caoutchouc et plastique,,1985,TULLINS,38517.0,CA du Pays Voironnais,11.0,2020-06-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
38459993200082,38459993-00082,KALYS,KALYS SA,2059Z,Industrie,Chimie,,2003,BERNIN,38039.0,CC Le Grésivaudan,11.0,,2.0,0.0,,0.0,1.0,Biotechnologies,0.0,,0.0,,1.0,Parachimie
45100185300030,45100185-00030,LA COMPAGNIE DU RIZ,LA COMPAGNIE DU RIZ,4638B,Services aux entreprises,Commerce de gros,,2014,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,2022-05-20 00:00:00,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
53396982000018,53396982-00018,LE CROQUANT CHATTOIS,,1082Z,Industrie,Industries agroalimentaires,,,CHATTE,38095.0,CC Saint-Marcellin Vercors Isère Communauté,11.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
39337013500047,39337013-00047,LE PETIT BULLETIN,LE PETIT BULLETIN,5813Z,Services aux entreprises,"Edition de livres, journaux",,1996,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,11.0,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
51339408000016,51339408-00016,LEXAN AVOCATS,LEXAN AVOCATS,6910Z,Services aux entreprises,"Services juridiques, comptables, sièges sociaux, autres",,2010,MONTBONNOT SAINT MARTIN,38249.0,CC Le Grésivaudan,11.0,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
75085848200029,75085848-00029,MATHON DEVELOPPEMENT,,4791B,Services aux entreprises,"Informatique : ESN, logiciels, Data",,,CHATTE,38095.0,CC Saint-Marcellin Vercors Isère Communauté,11.0,2020-06-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
